id,iaafId,firstName,lastName,countryCode,countryName,birthDate
14416505,306395,Laura,HOTTENROTT,GER,Germany,1992-05-14
14463763,341726,Tereza,HROCHOVÁ,CZE,Czechia,1996-02-24
14695498,311022,Mao,ICHIYAMA,JPN,Japan,1997-05-29
14593938,288941,Peres,JEPCHIRCHIR,KEN,Kenya,1993-09-27
14291432,205894,Helalia,JOHANNES,NAM,Namibia,1980-08-13
14812272,382207,Mélody,JULIEN,FRA,France,1999-05-13
14466358,263231,Melat Yisak,KEJETA,GER,Germany,1992-09-27
14730790,309772,Brigid,KOSGEI,KEN,Kenya,1994-02-20
15150375,535654,Kinzang,LHAMO,BHU,Bhutan,1998-06-15
14644196,414729,Dakotah,LINDWURM,USA,United States,1995-05-01
14336154,269461,Aleksandra,LISOWSKA,POL,Poland,1990-12-12
14684778,308092,Sharon,LOKEDI,KEN,Kenya,1994-03-10
14420260,281288,Anne,LUIJTEN,NED,Netherlands,1994-04-04
14290718,223941,Majida,MAAYOUF,ESP,Spain,1989-04-27
14373030,269462,Angelika,MACH,POL,Poland,1991-09-07
14643309,291071,Honami,MAEDA,JPN,Japan,1996-07-17
14486125,264537,Mokulubete Blandina,MAKATISI,LES,Lesotho,1995-09-01
14498228,306792,Zhanna,MAMAZHANOVA,KAZ,Kazakhstan,1994-01-26
14537637,341102,Domenika,MAYER,GER,Germany,1990-10-09
14797371,354278,Julia,MAYER,AUT,Austria,1993-01-20
14335825,262025,Jessica,MCCLAIN,USA,United States,1992-02-15
14283143,181743,Fionnuala,MCCORMACK,IRL,Ireland,1984-09-24
14426302,280139,Joan Chelimo,MELLY,ROU,Romania,1990-11-10
14326274,240522,Delvine Relin,MERINGOR,ROU,Romania,1992-08-01
14645754,304233,Clementine,MUKANDANGA,RWA,Rwanda,1985-12-08
14426782,339479,Esther,NAVARRETE,ESP,Spain,1990-03-16
14325369,308818,Rutendo Joan,NYAHORA,ZIM,Zimbabwe,1988-11-11
14639376,310712,Fiona,O'KEEFFE,USA,United States,1998-05-24
14424921,263953,Hellen,OBIRI,KEN,Kenya,1989-12-13
14802812,389498,Daiana,OCAMPO,ARG,Argentina,1991-02-16
14910229,498675,Cian,OLDKNOW,RSA,South Africa,1996-09-17
14521783,298550,Angie,ORJUELA,COL,Colombia,1989-05-09
14501901,390040,Silvia Patricia,ORTIZ MOROCHO,ECU,Ecuador,1992-06-30
14790858,364504,Fatima Azzahraa,OUHADDOU NAFIE,ESP,Spain,1993-08-30
14329614,267126,Matea,PARLOV KOŠTRO,CRO,Croatia,1992-06-02
14785911,369363,Marie,PERRIER,MRI,Mauritius,1995-03-30
14276123,232337,Charlotte,PURDUE,GBR,Great Britain & N.I.,1991-06-10
14379678,259418,Camilla,RICHARDSSON,FIN,Finland,1993-09-14
14382625,262284,Luz Mery,ROJAS,PER,Peru,1993-06-20
14646117,406708,Méline,ROLLIN,FRA,France,1998-06-17
14302631,205981,Jackline,SAKILU,TAN,Tanzania,1986-12-28
14523502,308491,Lonah Chemtai,SALPETER,ISR,Israel,1988-12-12
14363675,262630,Susana,SANTOS,POR,Portugal,1992-07-05
14940420,264579,Fabienne,SCHLUMPF,SUI,Switzerland,1990-11-17
14587891,341487,Deborah,SCHÖNEBORN,GER,Germany,1994-03-13
14664871,294797,Amane Beriso,SHANKULE,ETH,Ethiopia,1991-10-13
14731840,315496,Magdalena,SHAURI,TAN,Tanzania,1996-02-25
14896381,482771,Shantoshi,SHRESTHA,NEP,Nepal,1993-08-01
14321386,254517,Emily,SISSON,USA,United States,1991-10-12
14478926,345201,Meritxell,SOLER,ESP,Spain,1992-07-20
14336656,258886,Jessica,STENSON,AUS,Australia,1987-08-15
14475570,311315,Moira,STEWARTOVÁ,CZE,Czechia,1995-06-09
14730601,322580,Gerda,STEYN,RSA,South Africa,1990-03-03
14728060,314356,Yuka,SUZUKI,JPN,Japan,1999-09-14
14752085,316927,Rahma,TAHIRI,MAR,Morocco,1998-08-09
14383678,259297,Gladys,TEJEDA,PER,Peru,1985-09-30
14786771,316819,Dolshi,TESFU,ERI,Eritrea,1999-06-17
14283592,206673,Maor,TIYOURI,ISR,Israel,1990-08-13
14839284,397098,Manon,TRAPP,FRA,France,2000-08-01
14408066,281428,Sardana,TROFIMOVA,KGZ,Kirghizistan,1988-03-28
14841117,402154,Thalia,VALDIVIA,PER,Peru,1996-04-27
14296979,187064,Irvette,VAN ZYL,RSA,South Africa,1987-07-05
14599545,379526,Hanne,VERBRUGGEN,BEL,Belgium,1993-05-27
14271094,194565,Lisa,WEIGHTMAN,AUS,Australia,1979-01-16
14857083,438049,Carolina,WIKSTRÖM,SWE,Sweden,1993-09-04
14419455,240719,Mekdes,WOLDU,FRA,France,1992-10-20
14714417,298761,Yuyu,XIA,CHN,Pr Of China,1998-03-01
14535089,384132,Sofiia,YAREMCHUK,ITA,Italy,1994-06-03
14693572,297748,Deshun,ZHANG,CHN,Pr Of China,1996-02-21
